bathrooms,bedrooms,latitude,longitude,price,num_photos,num_features,num_description_words,interest_level
1.0,2,40.7062,-74.0099,3025,5,8,148,0
1.0,1,40.7704,-73.9566,3790,3,6,114,0
1.0,2,40.7616,-73.9643,4600,7,1,56,0
1.0,3,40.755,-73.9636,4450,6,7,139,0
1.0,3,40.7588,-73.9907,3200,4,4,46,1
1.0,1,40.6911,-73.9822,2769,3,9,148,1
1.0,1,40.7417,-73.9806,3800,17,5,166,0
1.0,2,40.7603,-73.995,2595,5,2,47,0
1.0,1,40.7658,-73.9781,3775,8,5,105,0
1.0,2,40.8342,-73.9427,1895,0,3,34,0
2.0,3,40.7604,-73.987,4700,6,9,178,0
1.0,2,40.746,-73.9754,3495,6,6,116,0
1.0,1,40.7771,-73.9496,2800,0,3,18,0
1.0,1,40.7412,-73.9772,3050,10,5,70,0
2.0,3,40.6577,-73.9055,2300,20,3,200,0
1.0,1,40.7637,-73.9846,2975,8,8,150,0
1.0,2,40.7095,-74.0094,3150,7,7,85,1
2.5,3,40.7425,-73.9926,15500,6,11,113,0
1.0,2,40.7088,-74.0143,3300,8,9,140,0
2.0,3,40.7722,-73.9606,8200,7,3,52,0
1.0,2,40.7489,-73.9765,3276,4,6,133,1
1.0,4,40.7274,-73.9882,5800,4,0,160,2
1.0,1,40.7512,-74.0026,4030,0,5,1,0
1.0,1,40.7593,-73.9962,3129,8,15,153,1
1.5,3,40.753,-73.9959,4400,8,14,101,0
1.0,3,40.8008,-73.9611,2950,8,3,147,1
1.0,3,40.7221,-73.9837,4899,7,6,103,1
1.0,1,40.731,-73.9876,3195,4,2,183,0
1.0,0,40.7928,-73.9758,2300,3,5,59,1
1.0,2,40.753,-73.9695,3500,7,7,92,0
1.0,2,40.7302,-73.9826,3250,5,4,54,1
1.0,0,40.7663,-73.8288,1350,9,4,82,2
1.0,0,40.7328,-74.0089,2500,8,6,23,0
1.0,1,40.7992,-73.9674,2450,5,2,218,0
1.0,0,40.7588,-73.9694,2400,6,5,50,0
1.0,2,40.756,-73.9687,2800,7,0,80,1
1.0,0,40.7612,-73.9978,2600,4,12,86,0
2.0,3,40.7297,-73.986,5100,7,7,284,1
1.0,2,40.7444,-74.0,3600,3,2,65,0
1.0,1,40.742,-73.9826,1800,6,1,121,2
1.0,1,40.7976,-73.968,2300,10,3,164,0
1.0,1,40.7836,-73.9491,2295,4,1,83,0
1.0,1,40.7868,-73.9504,3138,7,11,123,0
1.0,3,40.8035,-73.9567,3750,12,10,154,0
1.0,2,40.708,-74.0149,3097,2,9,99,0
1.0,2,40.7803,-73.9465,2495,7,1,42,2
1.5,1,40.7861,-73.9777,3400,3,5,167,0
1.0,0,40.7032,-73.9914,3156,1,4,146,0
2.0,2,40.7111,-74.0055,6500,4,9,107,0
1.0,1,40.7356,-73.9828,2830,4,4,74,1
1.0,2,40.7316,-73.9839,3400,11,14,46,2
1.0,1,40.6167,-73.955,1475,4,4,217,2
0.0,0,40.6503,-74.0135,2195,3,0,9,0
1.0,0,40.7852,-73.9777,1795,5,1,64,2
1.0,2,40.7842,-73.948,2900,7,14,157,1
1.0,1,40.7633,-73.9785,3250,7,11,125,0
1.0,0,40.7443,-73.9859,3125,3,10,98,0
1.0,1,40.7462,-73.9757,2695,5,6,109,1
2.0,2,40.6905,-73.9668,3000,5,3,10,1
1.0,2,40.7087,-74.0058,3995,5,11,203,0
1.0,3,40.7187,-73.9831,4725,7,3,154,0
2.0,4,40.7489,-73.9732,5800,6,10,82,0
1.0,1,40.7331,-74.0055,3795,9,6,106,1
1.0,2,40.7299,-73.9819,3695,8,4,58,0
1.0,2,40.7405,-73.9767,3100,4,11,116,0
2.0,3,40.7449,-73.9812,6150,10,7,102,0
1.0,1,40.7775,-73.9483,2550,10,3,13,1
1.0,1,40.7974,-73.9706,2700,3,2,102,0
1.0,1,40.7518,-73.9849,3570,7,13,205,0
1.0,1,40.727,-74.0308,2800,12,3,48,0
1.0,1,40.7421,-73.9788,2995,8,3,37,0
1.0,0,40.7603,-73.961,2500,4,6,122,0
2.0,2,40.7752,-73.9887,5795,20,3,135,0
1.0,2,40.7081,-74.0065,3460,4,10,279,0
1.0,0,40.759,-73.9621,2000,4,4,49,1
1.0,0,40.71,-74.0143,2595,4,3,102,0
1.0,0,40.7333,-73.9796,1950,4,0,160,0
1.0,0,40.7894,-73.9764,2350,1,3,56,0
1.0,2,40.7427,-73.9794,2999,5,9,43,2
1.0,2,40.7865,-73.9744,2500,7,0,56,1
1.0,1,40.7481,-73.9564,3160,10,6,113,0
1.0,2,40.7033,-73.92,2000,5,3,165,0
1.0,0,40.7238,-73.9902,2650,4,7,48,0
1.0,0,40.7047,-74.0076,3138,1,5,34,0
1.0,2,40.7466,-73.9779,3200,5,5,90,0
1.0,1,40.7838,-73.9535,3850,7,5,88,0
1.0,2,40.7705,-73.9485,2750,7,2,63,0
1.0,0,40.7706,-73.9501,1750,4,0,18,1
1.0,4,40.8441,-73.9406,3200,9,5,42,0
1.0,1,40.7568,-73.9982,3500,6,14,97,0
1.0,2,40.6905,-73.9668,3000,5,2,36,0
1.0,2,40.753,-73.9695,5095,7,7,151,0
2.0,2,40.8071,-73.9552,3850,5,0,109,0
1.0,0,40.7749,-73.9782,2280,5,5,70,1
1.0,0,40.6461,-73.9617,1850,9,3,9,0
1.0,2,40.7318,-73.9864,3450,3,0,36,0
1.0,1,40.7633,-73.9785,3250,7,11,125,0
1.0,2,40.6774,-73.9583,2900,2,0,40,0
1.0,1,40.7628,-73.9849,3350,2,4,76,0
1.0,1,40.6621,-73.9793,1995,3,2,116,1
1.0,1,40.7247,-73.9935,4195,5,7,360,0
1.0,2,40.8233,-73.9532,1900,7,12,84,1
1.0,1,40.7343,-74.0094,3850,5,2,32,0
1.0,1,40.7632,-73.9907,2495,4,3,64,0
0.0,1,40.745,-73.9863,4475,5,7,230,0
1.0,0,40.7705,-73.9485,1895,4,3,76,0
1.0,1,40.6493,-73.974,2487,12,6,128,1
1.0,3,40.7729,-73.9485,5100,7,3,75,0
1.0,1,40.7625,-73.9864,3640,8,3,67,0
1.0,2,40.8222,-73.94,2100,7,7,164,0
1.0,2,40.7586,-73.9838,3505,6,3,65,1
1.0,3,40.8246,-73.9508,2700,12,7,70,0
0.0,0,40.7805,-73.9464,2775,8,10,85,0
1.0,0,40.7974,-73.9708,2350,5,6,92,0
1.0,2,40.8021,-73.9392,2250,7,7,70,1
1.0,0,40.6898,-73.9797,2441,8,9,201,1
1.0,1,40.7334,-74.0047,4250,0,5,35,0
1.0,1,40.7735,-73.9064,2188,6,5,72,1
1.0,0,40.7771,-73.9515,1825,4,2,28,0
1.0,1,40.7601,-73.99,2650,4,1,63,0
1.0,0,40.7863,-73.971,2190,0,3,80,0
1.0,0,40.7767,-73.9456,2199,3,5,33,0
2.0,2,40.7669,-73.9344,3600,15,21,92,1
1.0,1,40.7338,-74.0009,4650,4,4,25,0
1.0,2,40.7494,-73.8801,2500,13,1,55,0
1.0,3,40.8419,-73.9377,2525,7,10,155,0
1.0,1,40.7321,-74.008,4500,6,12,97,0
1.0,0,40.779,-73.9461,2100,5,1,91,0
1.0,1,40.7292,-73.986,2350,4,1,49,0
3.0,3,40.7381,-73.992,14000,6,5,375,0
1.0,0,40.7369,-73.8633,1400,9,6,75,0
1.0,1,40.7222,-73.9464,2292,5,2,95,0
2.0,3,40.7316,-73.9838,5850,7,2,65,1
1.0,0,40.7559,-73.9658,1850,3,2,42,0
1.0,1,40.7549,-73.969,3095,5,5,108,0
1.0,0,40.7198,-73.9991,6650,6,2,127,0
1.0,2,40.7446,-73.974,3295,6,4,59,0
2.0,2,40.7826,-73.9509,7930,0,2,61,0
1.0,1,40.7238,-73.9902,2999,5,12,45,1
1.0,0,40.7854,-73.9752,2100,5,3,46,1
2.0,2,40.7075,-74.0059,4800,6,9,136,0
1.0,2,40.6736,-73.9659,3000,5,4,144,1
1.0,2,40.8063,-73.9157,2195,5,2,125,2
1.0,1,40.7538,-73.974,2800,4,6,60,1
1.0,1,40.7792,-73.9514,2599,3,5,95,0
1.0,0,40.7621,-73.9638,1850,5,4,111,2
1.0,0,40.7785,-73.9759,2575,12,3,97,0
2.0,2,40.6906,-73.9827,4083,8,8,140,0
1.0,2,40.764,-73.9799,3600,0,2,1,0
1.0,0,40.707300000000004,-74.0046,2900,0,3,9,0
1.0,1,40.7802,-73.9504,1925,3,0,72,0
1.0,1,40.7582,-73.9622,3115,6,9,214,1
1.0,2,40.7348,-73.9865,7000,9,3,81,0
1.0,2,40.7409,-73.9812,2600,9,0,24,1
2.0,2,40.7606,-73.9963,4000,5,11,126,0
1.0,1,40.7775,-73.9536,2500,6,1,98,0
1.0,2,40.7081,-74.0065,3400,4,8,186,0
1.0,2,40.7616,-73.9936,3500,5,1,53,0
1.0,1,40.7487,-73.9901,4295,6,13,259,1
2.0,4,40.8365,-73.9441,3700,12,10,118,0
1.0,1,40.7993,-73.9625,2500,0,0,9,0
1.0,2,40.7635,-73.9799,3800,5,4,105,0
1.0,2,40.7528,-73.9709,3950,8,2,76,0
1.0,3,40.7087,-73.955,4600,5,4,131,0
1.0,1,40.7346,-74.0018,2600,5,4,180,1
1.0,1,40.7885,-73.9749,2300,3,4,39,0
1.0,2,40.6882,-73.9615,2400,6,2,52,1
1.0,2,40.7568,-73.9982,3100,4,9,109,1
1.0,1,40.7756,-73.9846,2995,5,10,117,2
1.0,1,40.7416,-73.9216,2030,11,6,100,0
1.0,1,40.7562,-73.9964,3940,0,11,1,0
1.0,1,40.8064,-73.9181,1500,1,0,37,2
1.0,0,40.7462,-73.9757,2350,6,7,126,1
1.0,3,40.7295,-73.9893,4300,6,1,119,0
1.0,0,40.7619,-73.9854,3381,0,4,9,0
2.0,2,40.7373,-74.0042,5495,8,6,95,0
1.0,2,40.7447,-73.9774,3495,9,3,159,1
2.0,2,40.7606,-73.9994,7000,8,15,177,0
3.0,5,40.7084,-74.0008,11257,11,9,38,0
1.0,0,40.6629,-73.9846,2000,3,2,15,1
2.0,2,40.7716,-73.9812,13000,5,13,102,0
1.0,2,40.7165,-73.9505,3500,7,6,48,0
1.0,0,40.771,-73.9533,2100,2,0,121,0
3.0,3,40.7725,-73.9819,15000,6,10,199,0
1.0,2,40.7239,-73.9798,3300,1,1,80,0
1.0,2,40.7787,-73.909,2400,4,1,62,0
1.0,3,40.8309,-73.9486,2850,8,2,98,0
1.0,3,40.7579,-73.9129,2500,0,0,9,0
1.0,2,40.7284,-73.9992,3500,6,5,97,2
1.0,0,40.7655,-73.9817,2600,5,6,113,0
1.0,0,40.7439,-73.9971,2800,0,3,2,0
1.0,1,40.7719,-73.9861,4595,10,7,134,0
2.0,3,40.7847,-74.0059,3500,12,12,167,0
1.0,4,40.708,-74.0149,4500,9,13,295,2
1.0,1,40.7301,-73.9927,4150,7,4,93,0
1.0,1,40.7233,-73.9946,3495,4,0,6,0
1.0,2,40.7602,-73.9689,3450,8,12,115,1
2.0,3,40.745400000000004,-73.9845,7500,9,16,70,0
1.0,0,40.7681,-73.9563,2650,3,3,122,0
1.0,1,40.7678,-73.9915,3312,6,11,136,1
1.0,1,40.7401,-73.9887,4395,6,5,116,0
1.0,1,40.7327,-73.9931,3800,7,6,136,0
1.0,2,40.7396,-74.0035,5000,10,5,78,0
1.0,2,40.6907,-73.9216,3200,10,1,18,0
1.0,2,40.86,-73.9052,1695,1,1,17,0
1.0,2,40.7972,-73.9488,3025,6,10,221,0
1.0,1,40.8539,-73.9318,1575,4,1,95,1
1.0,1,40.7699,-73.9488,2425,0,3,15,0
2.0,3,40.7624,-73.9964,7000,6,14,132,0
1.0,1,40.7404,-73.929,2750,7,11,115,0
2.0,2,40.6927,-73.986,4975,8,6,117,0
2.0,2,40.7658,-73.9781,5400,4,7,147,0
1.0,1,40.7351,-73.978,5985,32,2,9,0
1.0,1,40.7365,-73.8676,1395,3,2,56,2
1.0,0,40.7988,-73.9694,1995,4,6,133,0
2.0,3,40.753,-73.9958,4900,4,8,167,0
1.0,3,40.7864,-73.9421,2975,7,0,57,0
1.0,0,40.7976,-73.968,2275,6,10,80,0
1.0,0,40.7383,-74.0006,2525,6,5,126,1
1.0,1,40.7617,-73.9617,2850,3,3,29,0
1.0,2,40.7297,-74.004,3750,5,2,57,0
1.0,0,40.7717,-73.9518,2250,3,5,72,0
3.0,4,40.7957,-73.9705,6100,6,9,105,0
1.0,2,40.7401,-73.9822,2950,8,0,11,2
1.0,3,40.7594,-73.9712,4800,5,8,59,0
1.0,1,40.7061,-74.0111,4468,10,5,42,0
1.0,1,40.8713,-73.9148,1500,4,2,75,2
1.0,2,40.8266,-73.9398,1900,10,1,168,1
1.0,2,40.7803,-73.9466,2595,8,0,83,0
1.0,2,40.6661,-73.9882,2500,15,1,9,1
2.0,4,40.7035,-74.0109,6500,6,7,196,0
1.0,0,40.7437,-73.9851,4145,8,5,116,0
3.0,3,40.745400000000004,-73.9776,11077,12,14,165,0
1.0,3,40.7192,-73.9828,4308,6,8,106,1
1.0,3,40.7067,-74.0101,3450,5,7,104,1
1.0,1,40.7334,-74.0047,6500,10,10,172,0
1.0,2,40.7348,-73.9865,3495,5,6,185,1
1.0,1,40.7779,-73.9515,3200,5,11,121,0
1.0,1,40.7658,-73.9171,1750,7,1,95,1
1.0,0,40.7638,-73.9941,2700,7,8,107,0
1.0,5,40.8025,-73.9587,6000,5,3,61,0
1.0,2,40.753,-73.9695,3095,8,10,115,1
1.0,1,40.7723,-73.9587,2600,6,3,70,1
2.0,4,40.7062,-74.0099,4820,5,10,55,1
1.0,3,40.7231,-74.0044,3625,7,1,71,1
1.0,2,40.7213,-73.9952,3995,5,4,99,0
2.0,3,40.8247,-73.949,2859,13,9,75,1
1.0,1,40.7105,-73.9532,2400,9,7,57,0
1.0,1,40.8013,-73.9606,2500,5,7,170,0
1.0,2,40.7104,-73.9486,2856,10,7,248,0
1.0,2,40.7079,-74.0099,3200,6,7,82,1
1.0,1,40.795,-73.9708,2500,3,5,91,1
2.0,3,40.7748,-73.9551,7000,6,6,80,0
1.0,2,40.731,-73.9831,3398,6,10,128,0
1.0,2,40.8031,-73.957,3000,3,4,82,0
1.0,2,40.7412,-73.9772,3000,6,7,125,1
1.0,2,40.7669,-73.9621,5450,15,4,6,0
2.0,3,40.7443,-73.9805,6000,5,8,70,1
3.0,4,40.7463,-73.9773,6250,8,4,107,1
1.0,2,40.7299,-73.9826,3000,0,2,1,0
2.0,2,40.728,-73.9832,3600,7,6,80,0
2.0,3,40.7676,-73.9601,4995,6,8,49,0
2.0,3,40.7548,-73.9944,4500,7,7,72,2
1.0,2,40.6455,-73.961,2475,13,3,9,0
1.0,0,40.7689,-73.9681,2850,4,2,111,0
1.0,2,40.7466,-73.9779,3500,4,11,74,0
1.0,0,40.7482,-74.0051,3485,6,6,123,0
0.0,1,40.7775,-73.9835,3950,6,0,108,0
1.0,0,40.7334,-74.0047,3395,2,5,24,0
1.0,2,40.7743,-73.9874,2625,2,2,100,0
2.0,2,40.7691,-73.9857,6800,10,7,124,0
1.0,2,40.7081,-74.0065,2500,5,8,145,1
2.0,2,40.7652,-73.9897,5500,6,4,90,0
1.0,1,40.7283,-73.9875,3370,8,6,87,1
1.0,1,40.743,-73.9805,3670,4,10,116,0
1.0,0,40.7989,-73.9535,1900,5,2,26,0
1.0,2,40.7678,-73.9915,3175,7,12,199,1
1.0,2,40.6905,-73.9668,3000,5,2,92,0
4.0,5,40.7739,-73.9529,9400,14,5,53,0
1.0,2,40.669200000000004,-73.9503,2395,6,2,140,0
1.0,0,40.7568,-73.9982,2400,5,14,178,2
1.0,1,40.7299,-73.9819,2995,4,8,92,0
1.0,2,40.7039,-73.9425,2400,5,5,65,0
1.0,1,40.7593,-73.9959,3690,6,8,106,0
1.0,2,40.7537,-73.9682,2575,5,1,38,1
2.0,3,40.7376,-73.9738,5000,0,7,1,0
2.0,4,40.7061,-74.0111,5970,7,11,109,0
1.0,1,40.7331,-73.9972,3200,3,0,4,1
1.0,1,40.7587,-73.9838,2600,5,6,73,0
1.0,3,40.708,-74.0149,3300,5,11,152,2
1.0,0,40.8404,-73.9375,1500,4,1,79,2
1.0,2,40.844,-73.9414,2250,6,4,99,1
1.0,0,40.7678,-73.9869,1875,6,4,51,2
0.0,0,40.7295,-74.0029,3695,5,6,61,0
2.0,3,40.709,-74.0169,9600,6,13,94,0
1.5,3,40.7436,-73.9727,4617,10,12,70,0
2.0,2,40.694,-73.9828,4464,0,4,35,0
1.0,0,40.7512,-74.0026,3330,0,5,1,0
1.0,0,40.748,-73.981,3350,8,5,104,0
2.0,2,40.7324,-73.9875,5295,3,2,150,0
1.0,3,40.7177,-73.9907,3900,4,3,185,1
1.0,2,40.7806,-73.947,2700,4,0,33,1
1.0,2,40.7922,-73.9645,5595,6,9,100,0
2.0,3,40.7742,-73.9475,5100,7,1,111,0
2.0,3,40.707300000000004,-74.0046,3880,5,11,98,1
1.0,1,40.7487,-73.9425,2950,19,9,87,0
1.0,1,40.8031,-73.957,2400,8,3,230,1
1.0,1,40.8152,-73.9473,2150,4,3,62,1
2.0,3,40.7786,-73.9478,4150,3,5,71,0
1.0,1,40.7535,-73.9742,2700,5,6,99,1
1.0,0,40.7559,-73.9649,2250,5,5,33,0
